number of jobs,number of molds,class,instance number,execution time
50,2,1,1,0.001
50,2,1,2,0
50,2,1,3,0
50,2,1,4,0
50,2,1,5,0
50,2,1,6,0
50,2,1,7,0
50,2,1,8,0
50,2,1,9,0.001
50,2,1,10,0
50,2,2,11,0
50,2,2,12,0
50,2,2,13,0
50,2,2,14,0
50,2,2,15,0
50,2,2,16,0
50,2,2,17,0
50,2,2,18,0.001006
50,2,2,19,0.000997
50,2,2,20,0
50,2,3,21,0.001001
50,2,3,22,0
50,2,3,23,0
50,2,3,24,0
50,2,3,25,0
50,2,3,26,0
50,2,3,27,0
50,2,3,28,0
50,2,3,29,0
50,2,3,30,0
50,2,4,31,0
50,2,4,32,0
50,2,4,33,0
50,2,4,34,0
50,2,4,35,0
50,2,4,36,0.000996
50,2,4,37,0
50,2,4,38,0
50,2,4,39,0
50,2,4,40,0
50,2,5,41,0
50,2,5,42,0.000996
50,2,5,43,0
50,2,5,44,0
50,2,5,45,0.000997
50,2,5,46,0
50,2,5,47,0.000994
50,2,5,48,0
50,2,5,49,0
50,2,5,50,0
50,2,6,51,0
50,2,6,52,0
50,2,6,53,0
50,2,6,54,0
50,2,6,55,0.001014
50,2,6,56,0
50,2,6,57,0
50,2,6,58,0
50,2,6,59,0
50,2,6,60,0.001001
50,5,1,61,0
50,5,1,62,0
50,5,1,63,0
50,5,1,64,0
50,5,1,65,0
50,5,1,66,0
50,5,1,67,0
50,5,1,68,0
50,5,1,69,0
50,5,1,70,0
50,5,2,71,0
50,5,2,72,0.000994
50,5,2,73,0
50,5,2,74,0
50,5,2,75,0
50,5,2,76,0
50,5,2,77,0
50,5,2,78,0.000994
50,5,2,79,0
50,5,2,80,0
50,5,3,81,0
50,5,3,82,0
50,5,3,83,0
50,5,3,84,0
50,5,3,85,0
50,5,3,86,0.000998
50,5,3,87,0
50,5,3,88,0
50,5,3,89,0
50,5,3,90,0
50,5,4,91,0
50,5,4,92,0
50,5,4,93,0.000998
50,5,4,94,0
50,5,4,95,0
50,5,4,96,0
50,5,4,97,0.000999
50,5,4,98,0.000998
50,5,4,99,0
50,5,4,100,0
50,5,5,101,0
50,5,5,102,0
50,5,5,103,0
50,5,5,104,0
50,5,5,105,0
50,5,5,106,0
50,5,5,107,0
50,5,5,108,0
50,5,5,109,0
50,5,5,110,0
50,5,6,111,0.000996
50,5,6,112,0
50,5,6,113,0.001
50,5,6,114,0
50,5,6,115,0
50,5,6,116,0
50,5,6,117,0
50,5,6,118,0
50,5,6,119,0
50,5,6,120,0.000996
50,10,1,121,0
50,10,1,122,0
50,10,1,123,0
50,10,1,124,0
50,10,1,125,0
50,10,1,126,0
50,10,1,127,0
50,10,1,128,0
50,10,1,129,0
50,10,1,130,0
50,10,2,131,0
50,10,2,132,0
50,10,2,133,0
50,10,2,134,0
50,10,2,135,0
50,10,2,136,0
50,10,2,137,0
50,10,2,138,0.000998
50,10,2,139,0
50,10,2,140,0
50,10,3,141,0
50,10,3,142,0
50,10,3,143,0
50,10,3,144,0
50,10,3,145,0.001003
50,10,3,146,0
50,10,3,147,0
50,10,3,148,0
50,10,3,149,0
50,10,3,150,0
50,10,4,151,0.000993
50,10,4,152,0.000998
50,10,4,153,0
50,10,4,154,0
50,10,4,155,0
50,10,4,156,0
50,10,4,157,0
50,10,4,158,0
50,10,4,159,0
50,10,4,160,0.001001
50,10,5,161,0
50,10,5,162,0
50,10,5,163,0
50,10,5,164,0
50,10,5,165,0
50,10,5,166,0
50,10,5,167,0
50,10,5,168,0
50,10,5,169,0
50,10,5,170,0
50,10,6,171,0
50,10,6,172,3.2e-005
50,10,6,173,0
50,10,6,174,0
50,10,6,175,0
50,10,6,176,0
50,10,6,177,0
50,10,6,178,0
50,10,6,179,0
50,10,6,180,0
50,15,1,181,0
50,15,1,182,0
50,15,1,183,0
50,15,1,184,0
50,15,1,185,0
50,15,1,186,0
50,15,1,187,0
50,15,1,188,0
50,15,1,189,0
50,15,1,190,0
50,15,2,191,0
50,15,2,192,0
50,15,2,193,0
50,15,2,194,0
50,15,2,195,0
50,15,2,196,0
50,15,2,197,0
50,15,2,198,0
50,15,2,199,0
50,15,2,200,0
50,15,3,201,0
50,15,3,202,0
50,15,3,203,0
50,15,3,204,0
50,15,3,205,0
50,15,3,206,0
50,15,3,207,0
50,15,3,208,0
50,15,3,209,0
50,15,3,210,0
50,15,4,211,0
50,15,4,212,0
50,15,4,213,0
50,15,4,214,0.001007
50,15,4,215,0
50,15,4,216,0
50,15,4,217,0
50,15,4,218,0.000996
50,15,4,219,0
50,15,4,220,0
50,15,5,221,0
50,15,5,222,0
50,15,5,223,0.000998
50,15,5,224,0
50,15,5,225,0
50,15,5,226,0
50,15,5,227,0.000991
50,15,5,228,0.000988
50,15,5,229,0
50,15,5,230,0
50,15,6,231,0
50,15,6,232,0
50,15,6,233,0
50,15,6,234,0
50,15,6,235,0
50,15,6,236,0
50,15,6,237,0
50,15,6,238,0
50,15,6,239,0
50,15,6,240,0
50,20,1,241,0
50,20,1,242,0
50,20,1,243,0
50,20,1,244,0
50,20,1,245,0
50,20,1,246,0
50,20,1,247,0
50,20,1,248,0
50,20,1,249,0
50,20,1,250,0
50,20,2,251,0
50,20,2,252,0
50,20,2,253,0
50,20,2,254,0
50,20,2,255,0
50,20,2,256,0
50,20,2,257,0
50,20,2,258,0
50,20,2,259,0
50,20,2,260,0
50,20,3,261,0
50,20,3,262,0
50,20,3,263,0.001
50,20,3,264,0
50,20,3,265,0
50,20,3,266,0
50,20,3,267,0
50,20,3,268,0
50,20,3,269,0
50,20,3,270,0
50,20,4,271,0
50,20,4,272,0
50,20,4,273,0.000997
50,20,4,274,0
50,20,4,275,0
50,20,4,276,0
50,20,4,277,0
50,20,4,278,0
50,20,4,279,0
50,20,4,280,0
50,20,5,281,0
50,20,5,282,0
50,20,5,283,0
50,20,5,284,0
50,20,5,285,0.000996
50,20,5,286,0.000996
50,20,5,287,0
50,20,5,288,0
50,20,5,289,0
50,20,5,290,0
50,20,6,291,0
50,20,6,292,0
50,20,6,293,0
50,20,6,294,0
50,20,6,295,0
50,20,6,296,0
50,20,6,297,0
50,20,6,298,0
50,20,6,299,0
50,20,6,300,0
100,2,1,301,0
100,2,1,302,0
100,2,1,303,0.000994
100,2,1,304,0
100,2,1,305,0.001002
100,2,1,306,0
100,2,1,307,0.000997
100,2,1,308,0
100,2,1,309,0.000998
100,2,1,310,0.001003
100,2,2,311,0
100,2,2,312,0.000998
100,2,2,313,0.000998
100,2,2,314,0
100,2,2,315,0.000997
100,2,2,316,0
100,2,2,317,0
100,2,2,318,0
100,2,2,319,0.001011
100,2,2,320,0
100,2,3,321,0
100,2,3,322,0.000998
100,2,3,323,0
100,2,3,324,0.00055
100,2,3,325,0.000999
100,2,3,326,0.000997
100,2,3,327,0
100,2,3,328,0
100,2,3,329,0
100,2,3,330,0.000999
100,2,4,331,0.001
100,2,4,332,0
100,2,4,333,0
100,2,4,334,0
100,2,4,335,0
100,2,4,336,0.000997
100,2,4,337,0.000997
100,2,4,338,0.000996
100,2,4,339,0
100,2,4,340,0.000997
100,2,5,341,0
100,2,5,342,0
100,2,5,343,0.000999
100,2,5,344,0.001006
100,2,5,345,0
100,2,5,346,0
100,2,5,347,0
100,2,5,348,0
100,2,5,349,0.001001
100,2,5,350,0.000999
100,2,6,351,0.001
100,2,6,352,0
100,2,6,353,0
100,2,6,354,0.000997
100,2,6,355,0.000996
100,2,6,356,0
100,2,6,357,0
100,2,6,358,0
100,2,6,359,0
100,2,6,360,0.001003
100,5,1,361,0
100,5,1,362,0
100,5,1,363,0.000998
100,5,1,364,0
100,5,1,365,0
100,5,1,366,0
100,5,1,367,0
100,5,1,368,0
100,5,1,369,0
100,5,1,370,0
100,5,2,371,0
100,5,2,372,0
100,5,2,373,0
100,5,2,374,0
100,5,2,375,0
100,5,2,376,0
100,5,2,377,0
100,5,2,378,0.001009
100,5,2,379,0
100,5,2,380,0.001007
100,5,3,381,0.000994
100,5,3,382,0
100,5,3,383,0
100,5,3,384,0
100,5,3,385,0
100,5,3,386,0
100,5,3,387,0.001005
100,5,3,388,0
100,5,3,389,0
100,5,3,390,0.000997
100,5,4,391,0
100,5,4,392,0
100,5,4,393,0
100,5,4,394,0
100,5,4,395,0
100,5,4,396,0.000994
100,5,4,397,0
100,5,4,398,0
100,5,4,399,0.000997
100,5,4,400,0.001
100,5,5,401,0
100,5,5,402,0.001005
100,5,5,403,0
100,5,5,404,0
100,5,5,405,0.001
100,5,5,406,0
100,5,5,407,0
100,5,5,408,0
100,5,5,409,0
100,5,5,410,0
100,5,6,411,0
100,5,6,412,0
100,5,6,413,0
100,5,6,414,0
100,5,6,415,0
100,5,6,416,0
100,5,6,417,0
100,5,6,418,0.000999
100,5,6,419,0.000997
100,5,6,420,0
100,10,1,421,0
100,10,1,422,0
100,10,1,423,0
100,10,1,424,0
100,10,1,425,0
100,10,1,426,0.001
100,10,1,427,0
100,10,1,428,0
100,10,1,429,0.001006
100,10,1,430,0.001005
100,10,2,431,0
100,10,2,432,0.000997
100,10,2,433,0
100,10,2,434,0
100,10,2,435,0
100,10,2,436,0
100,10,2,437,0
100,10,2,438,0
100,10,2,439,0
100,10,2,440,0
100,10,3,441,0
100,10,3,442,0
100,10,3,443,0
100,10,3,444,0.001004
100,10,3,445,0
100,10,3,446,0
100,10,3,447,0
100,10,3,448,0
100,10,3,449,0
100,10,3,450,0
100,10,4,451,0.001004
100,10,4,452,0
100,10,4,453,0.001002
100,10,4,454,0.001002
100,10,4,455,0.000995
100,10,4,456,0
100,10,4,457,0
100,10,4,458,0.001
100,10,4,459,0
100,10,4,460,0
100,10,5,461,0
100,10,5,462,0
100,10,5,463,0
100,10,5,464,0.000998
100,10,5,465,0.001002
100,10,5,466,0
100,10,5,467,0
100,10,5,468,0.000999
100,10,5,469,0.001
100,10,5,470,0
100,10,6,471,0
100,10,6,472,0
100,10,6,473,0
100,10,6,474,6.1e-005
100,10,6,475,0.001001
100,10,6,476,0
100,10,6,477,0.000997
100,10,6,478,0.000996
100,10,6,479,0
100,10,6,480,0
100,15,1,481,0.000997
100,15,1,482,0
100,15,1,483,0
100,15,1,484,0
100,15,1,485,0
100,15,1,486,0
100,15,1,487,0
100,15,1,488,0.000997
100,15,1,489,0.000992
100,15,1,490,0
100,15,2,491,0
100,15,2,492,0.001004
100,15,2,493,0
100,15,2,494,0
100,15,2,495,0
100,15,2,496,0
100,15,2,497,0
100,15,2,498,0
100,15,2,499,0
100,15,2,500,0
100,15,3,501,0
100,15,3,502,0
100,15,3,503,0
100,15,3,504,0
100,15,3,505,0
100,15,3,506,0.000995
100,15,3,507,0
100,15,3,508,0
100,15,3,509,0
100,15,3,510,0
100,15,4,511,0
